종목코드,회사명,시장구분,ticker,현재주가,시가총액,배당수익률,52주최고,52주최저,PER,PBR,ROE,수집시각
161890,한국콜마,KOSPI,161890.KS,89200.0,2105572720640.0,0.94,110700.0,60600.0,,,0.106029995,2026-05-20T21:06:07.162144
112610,씨에스윈드,KOSPI,112610.KS,49500.0,2051214671872.0,1.95,79400.0,39000.0,,,0.03342,2026-05-20T21:06:07.582441
081660,미스토홀딩스,KOSPI,081660.KS,39150.0,2061163429888.0,7.05,55800.0,32700.0,,,0.1308,2026-05-20T21:06:07.997232
009420,한올바이오파마,KOSPI,009420.KS,39200.0,1993641295872.0,,66600.0,24000.0,,,-0.033689998,2026-05-20T21:06:08.404471
322000,HD현대에너지솔루션,KOSPI,322000.KS,179000.0,2004799979520.0,,256000.0,38700.0,,,0.10585,2026-05-20T21:06:08.814100
192820,코스맥스,KOSPI,192820.KS,173000.0,1962799529984.0,1.86,287000.0,155200.0,,,0.21981001,2026-05-20T21:06:09.232640
000120,CJ대한통운,KOSPI,000120.KS,85700.0,1709297500160.0,0.9,154000.0,77400.0,,,0.059720002,2026-05-20T21:06:09.647165
085620,미래에셋생명,KOSPI,085620.KS,14270.0,1861949587456.0,,20900.0,5320.0,,,0.05219,2026-05-20T21:06:10.066100
097230,HJ중공업,KOSPI,097230.KS,21000.0,1896077459456.0,,34350.0,6950.0,,,0.101569995,2026-05-20T21:06:10.487426
017960,한국카본,KOSPI,017960.KS,35400.0,1783018160128.0,0.88,54100.0,20300.0,,,0.19298,2026-05-20T21:06:10.901907
002790,아모레퍼시픽홀딩스,KOSPI,002790.KS,23650.0,2122696884224.0,1.64,35950.0,22900.0,,,0.04107,2026-05-20T21:06:11.339216
023590,다우기술,KOSPI,023590.KS,41450.0,1788602613760.0,4.22,62300.0,23100.0,,,0.16770001,2026-05-20T21:06:11.765136
001120,LX인터내셔널,KOSPI,001120.KS,43550.0,1566402281472.0,4.51,57700.0,26900.0,,,,2026-05-20T21:06:12.178703
395400,SK리츠,KOSPI,395400.KS,5600.0,1652664434688.0,1.18,7200.0,4440.0,,,,2026-05-20T21:06:12.700711
462870,시프트업,KOSPI,462870.KS,28550.0,1656653217792.0,,61400.0,27500.0,,,0.24742001,2026-05-20T21:06:13.119644
077970,STX엔진,KOSPI,077970.KS,41700.0,1673786687488.0,,67700.0,19910.0,,,0.22258,2026-05-20T21:06:13.657640
298020,효성티앤씨,KOSPI,298020.KS,384000.0,1648076914688.0,2.5,557000.0,199000.0,,,0.02023,2026-05-20T21:06:14.095384
361610,SK아이이테크놀로지,KOSPI,361610.KS,19190.0,1569494532096.0,,35100.0,19020.0,,,-0.08583,2026-05-20T21:06:14.617859
001740,SK네트웍스,KOSPI,001740.KS,7800.0,1674328539136.0,3.05,10360.0,3915.0,,,0.0291,2026-05-20T21:06:15.041417
005070,코스모신소재,KOSPI,005070.KS,46600.0,1547251089408.0,,66400.0,29500.0,,,0.15484,2026-05-20T21:06:15.458792
006040,동원산업,KOSPI,006040.KS,35050.0,1547324620800.0,1.65,55400.0,34750.0,,,0.11144,2026-05-20T21:06:15.976975
001800,오리온홀딩스,KOSPI,001800.KS,24500.0,1473837924352.0,4.4,29950.0,17950.0,,,0.06732,2026-05-20T21:06:16.489708
003570,SNT다이내믹스,KOSPI,003570.KS,46100.0,1089354268672.0,3.63,76400.0,38850.0,,,0.074310005,2026-05-20T21:06:16.912654
003540,대신증권,KOSPI,003540.KS,30900.0,2100899872768.0,3.73,51400.0,19920.0,,,0.05065,2026-05-20T21:06:17.338422
006280,녹십자,KOSPI,006280.KS,129600.0,1479147913216.0,1.15,183800.0,123900.0,,,-0.020650001,2026-05-20T21:06:17.750197
069620,대웅제약,KOSPI,069620.KS,130700.0,1503869534208.0,0.45,199400.0,126900.0,,,0.18400998,2026-05-20T21:06:18.174275
032350,롯데관광개발,KOSPI,032350.KS,18840.0,1499691745280.0,,27700.0,10700.0,,,0.08101,2026-05-20T21:06:18.604757
020560,아시아나항공,KOSPI,020560.KS,6980.0,1437239738368.0,,10470.0,6560.0,,,-0.31931,2026-05-20T21:06:19.086286
